TAG,Value,Time
I,65326,36190
B,65328,144
R,65330,23800
B,65333,95
I,65335,36188
B,65337,160
R,65340,23815
B,65342,92
I,65344,36104
B,65347,141
R,65349,23804
B,65352,106
I,65354,36218
B,65356,151
R,65359,23810
B,65361,88
I,65363,36159
B,65366,146
R,65368,23802
B,65371,101
I,65373,36177
B,65375,139
R,65378,23858
B,65380,89
I,65382,36144
B,65385,159
R,65387,23818
B,65389,91
I,65392,36168
B,65394,143
R,65397,23785
B,65399,92
I,65401,36184
B,65404,154
R,65406,23810
B,65408,91
I,65411,36163
B,65413,140
R,65416,23813
B,65418,109
I,65420,36230
B,65423,151
R,65425,23830
B,65427,91
I,65430,36186
B,65432,140
R,65434,23840
B,65437,106
I,65439,36193
B,65442,149
R,65444,23799
B,65446,86
I,65449,36196
B,65451,159
R,65453,23778
B,65456,93
I,65458,36175
B,65460,145
R,65463,23797
B,65465,92
I,65468,36168
B,65470,160
R,65472,23827
B,65475,94
I,65477,36179
B,65479,142
R,65482,23802
B,65484,104
I,65487,36244
B,65489,144
R,65491,23818
B,65494,92
I,65496,36179
B,65498,141
R,65501,23817
B,65503,108
I,65505,36183
B,65508,152
R,65510,23825
B,65513,84
I,65515,36166
B,65517,159
R,65520,23815
B,65522,92
I,65524,36184
B,65527,145
R,65529,23797
B,65532,89
I,65534,36205
B,65536,168
R,65539,23782
B,65541,94
I,65543,36205
B,65546,138
R,65548,23812
B,65550,101
I,65553,36226
B,65555,150
R,65558,23837
B,65560,89
I,65562,36214
B,65565,145
R,65567,23810
B,65569,108
I,65572,36267
B,65574,152
R,65576,23808
B,65579,84
I,65581,36227
B,65584,157
R,65586,23856
B,65588,97
I,65591,36187
B,65593,138
R,65595,23812
B,65598,88
I,65600,36191
B,65603,163
R,65605,23769
B,65607,93
I,65610,36170
B,65612,136
R,65614,23759
B,65617,102
I,65619,36203
B,65621,153
R,65624,23741
B,65626,93
I,65629,36148
B,65631,147
R,65633,23782
B,65636,107
I,65638,36157
B,65640,150
R,65643,23759
B,65645,86
I,65647,36065
B,65650,149
R,65652,23745
B,65655,99
I,65657,36078
B,65659,145
R,65662,23715
B,65664,84
I,65666,36054
B,65669,157
R,65671,23709
B,65674,89
I,65676,36044
B,65678,142
R,65681,23694
B,65683,96
I,65685,36005
B,65688,150
R,65690,23680
B,65692,87
I,65695,36024
B,65697,135
R,65700,23701
B,65702,106
I,65704,36113
B,65707,144
R,65709,23684
B,65711,85
I,65714,36035
B,65716,139
R,65718,23730
B,65721,96
I,65723,36070
B,65726,147
R,65728,23699
B,65730,86
I,65733,36061
B,65735,168
R,65737,23711
B,65740,94
I,65742,36104
B,65745,145
R,65747,23706
B,65749,96
I,65752,36075
B,65754,153
R,65756,23734
B,65759,88
I,65761,36111
B,65763,137
R,65766,23729
B,65768,102
I,65771,36159
B,65773,143
R,65775,23741
B,65778,90
I,65780,36115
B,65782,147
R,65785,23756
B,65787,101
