TAG,Time,Value
B,32357,158
I,32359,58272
B,32361,173
R,32364,37739
B,32366,85
I,32368,58146
B,32371,216
R,32373,37901
B,32376,122
I,32378,58213
B,32380,169
R,32383,37750
B,32385,91
I,32387,58219
B,32390,249
R,32392,37823
B,32394,94
I,32397,58111
B,32399,161
R,32402,37710
B,32404,138
I,32406,58252
B,32409,212
R,32411,37760
B,32413,83
I,32416,58006
B,32418,169
R,32421,37788
B,32423,157
I,32425,58130
B,32428,179
R,32430,37688
B,32432,81
I,32435,57971
B,32437,211
R,32439,37796
B,32442,127
I,32444,58058
B,32447,161
R,32449,37642
B,32451,91
I,32454,58018
B,32456,235
R,32458,37784
B,32461,96
I,32463,57947
B,32465,164
R,32468,37674
B,32470,122
I,32473,58042
B,32475,211
R,32477,37699
B,32480,80
I,32482,57871
B,32484,171
R,32487,37716
B,32489,158
I,32492,58079
B,32494,179
R,32496,37684
B,32499,81
I,32501,57928
B,32503,209
R,32506,37811
B,32508,140
I,32510,58027
B,32513,167
R,32515,37689
B,32518,84
I,32520,58004
B,32522,237
R,32525,37775
B,32527,98
I,32529,57956
B,32532,164
R,32534,37649
B,32537,110
I,32539,58088
B,32541,225
R,32544,37681
B,32546,79
I,32548,57893
B,32551,161
R,32553,37733
B,32555,156
I,32558,58056
B,32560,185
R,32563,37684
B,32565,84
I,32567,57902
B,32570,189
R,32572,37775
B,32574,147
I,32577,57993
B,32579,172
R,32581,37595
B,32584,86
I,32586,57989
B,32589,242
R,32591,37742
B,32593,101
I,32596,57983
B,32598,157
R,32600,37640
B,32603,101
I,32605,58062
B,32608,231
R,32610,37693
B,32612,89
I,32615,57882
B,32617,158
R,32619,37637
B,32622,154
I,32624,58013
B,32626,188
R,32629,37668
B,32631,82
I,32634,57882
B,32636,192
R,32638,37775
B,32641,151
I,32643,58017
B,32645,169
R,32648,37640
B,32650,84
I,32653,57949
B,32655,232
R,32657,37781
B,32660,109
I,32662,57993
B,32664,165
R,32667,37674
B,32669,103
I,32671,58077
B,32674,235
R,32676,37744
B,32679,88
I,32681,57891
B,32683,153
R,32686,37672
B,32688,147
I,32690,58103
B,32693,194
R,32695,37718
B,32698,89
I,32700,57923
B,32702,182
R,32705,37735
B,32707,158
I,32709,58034
B,32712,173
R,32714,37660
B,32716,82
I,32719,57928
B,32721,228
R,32724,37760
B,32726,110
I,32728,57997
B,32731,156
R,32733,37645
B,32735,99
I,32738,58016
B,32740,235
R,32742,37727
B,32745,87
I,32747,57896
B,32750,159
R,32752,37670
B,32754,146
I,32757,58097
B,32759,197
R,32761,37645
B,32764,81
I,32766,57883
B,32769,170
R,32771,37741
B,32773,162
I,32776,58017
B,32778,169
R,32780,37664
B,32783,77
I,32785,57925
B,32787,220
R,32790,37772
B,32792,119
I,32795,58027
B,32797,165
R,32799,37643
