TAG,Time,Value
R,62273,23460
B,62276,242
I,62278,35771
B,62280,207
R,62283,23426
B,62285,77
I,62287,35416
B,62290,156
R,62292,23583
B,62294,232
I,62297,35693
B,62299,124
R,62302,23334
B,62304,81
I,62306,35513
B,62309,292
R,62311,23633
B,62313,163
I,62316,35535
B,62318,125
R,62321,23295
B,62323,100
I,62325,35798
B,62328,292
R,62330,23548
B,62332,76
I,62335,35430
B,62337,122
R,62339,23404
B,62342,227
I,62344,35738
B,62347,217
R,62349,23465
B,62351,78
I,62354,35379
B,62356,144
R,62358,23538
B,62361,248
I,62363,35664
B,62366,135
R,62368,23291
B,62370,75
I,62373,35478
B,62375,273
R,62377,23593
B,62380,177
I,62382,35509
B,62384,134
R,62387,23225
B,62389,88
I,62392,35610
B,62394,293
R,62396,23508
B,62399,83
I,62401,35377
B,62403,121
R,62406,23364
B,62408,208
I,62410,35701
B,62413,230
R,62415,23429
B,62418,74
I,62420,35367
B,62422,130
R,62425,23532
B,62427,255
I,62429,35650
B,62432,149
R,62434,23321
B,62437,75
I,62439,35461
B,62441,246
R,62444,23624
B,62446,185
I,62448,35537
B,62451,130
R,62453,23283
B,62455,76
I,62458,35617
B,62460,308
R,62463,23528
B,62465,100
I,62467,35350
B,62470,122
R,62472,23307
B,62474,187
I,62477,35660
B,62479,254
R,62482,23394
B,62484,78
I,62486,35254
B,62489,122
R,62491,23467
B,62493,253
I,62496,35548
B,62498,162
R,62500,23229
B,62503,77
I,62505,35324
B,62508,235
R,62510,23536
B,62512,201
I,62515,35459
B,62517,126
R,62519,23149
B,62522,73
I,62524,35502
B,62527,309
R,62529,23455
B,62531,112
I,62534,35250
B,62536,122
R,62538,23258
B,62541,165
I,62543,35619
B,62545,256
R,62548,23395
B,62550,78
I,62553,35267
B,62555,120
R,62557,23389
B,62560,257
I,62562,35587
B,62564,173
R,62567,23220
B,62569,80
I,62571,35276
B,62574,207
R,62576,23511
B,62579,203
I,62581,35529
B,62583,123
R,62586,23138
B,62588,72
I,62590,35506
B,62593,311
R,62595,23506
B,62598,133
I,62600,35354
B,62602,120
R,62605,23230
B,62607,139
I,62609,35714
B,62612,267
R,62614,23478
B,62616,76
I,62619,35277
B,62621,119
R,62624,23413
B,62626,260
I,62628,35644
B,62631,190
R,62633,23324
B,62635,77
I,62638,35307
B,62640,178
R,62643,23541
B,62645,222
I,62647,35575
B,62650,127
R,62652,23181
B,62654,72
I,62657,35512
B,62659,301
R,62661,23560
B,62664,153
I,62666,35387
B,62669,124
R,62671,23272
B,62673,122
I,62676,35690
B,62678,278
R,62680,23466
B,62683,77
I,62685,35293
B,62688,121
R,62690,23395
B,62692,250
I,62695,35694
B,62697,213
R,62699,23329
B,62702,77
I,62704,35390
B,62706,164
R,62709,23551
B,62711,231
I,62714,35635
B,62716,130
R,62718,23219
B,62721,79
I,62723,35468
B,62725,290
R,62728,23565
B,62730,167
I,62732,35475
B,62735,130
R,62737,23204
B,62740,100
I,62742,35673
B,62744,289
R,62747,23477
B,62749,78
I,62751,35291
B,62754,125
R,62756,23360
B,62759,237
I,62761,35729
B,62763,222
R,62766,23365
B,62768,78
I,62770,35338
B,62773,143
R,62775,23494
B,62777,242
I,62780,35597
B,62782,134
R,62785,23253
B,62787,78
I,62789,35470
B,62792,281
R,62794,23586
B,62796,176
I,62799,35501
B,62801,128
R,62804,23233
B,62806,91
I,62808,35652
B,62811,297
R,62813,23498
B,62815,90
I,62818,35367
B,62820,121
R,62822,23302
B,62825,215
I,62827,35736
B,62830,234
R,62832,23376
B,62834,79
I,62837,35330
B,62839,125
R,62841,23451
B,62844,255
I,62846,35608
B,62849,144
R,62851,23244
B,62853,79
I,62856,35403
B,62858,253
R,62860,23524
B,62863,187
I,62865,35477
B,62867,127
R,62870,23214
B,62872,78
I,62875,35614
B,62877,310
R,62879,23494
B,62882,94
I,62884,35372
B,62886,124
R,62889,23271
B,62891,193
I,62893,35753
B,62896,242
R,62898,23420
B,62901,76
I,62903,35353
B,62905,119
R,62908,23482
B,62910,263
I,62912,35678
B,62915,151
R,62917,23275
B,62920,77
I,62922,35398
B,62924,233
R,62927,23555
B,62929,202
I,62931,35567
B,62934,124
R,62936,23151
B,62938,69
I,62941,35601
B,62943,314
R,62946,23468
B,62948,111
I,62950,35411
B,62953,125
R,62955,23179
B,62957,177
I,62960,35730
B,62962,260
R,62965,23399
B,62967,74
I,62969,35275
B,62972,125
R,62974,23403
B,62976,257
I,62979,35675
B,62981,167
R,62983,23256
B,62986,79
I,62988,35375
B,62991,212
R,62993,23518
B,62995,206
I,62998,35573
B,63000,125
R,63002,23156
B,63005,77
I,63007,35569
B,63010,316
R,63012,23517
B,63014,126
I,63017,35397
B,63019,122
R,63021,23198
B,63024,145
I,63026,35724
B,63028,265
R,63031,23407
B,63033,72
I,63036,35308
B,63038,118
R,63040,23351
B,63043,257
I,63045,35657
B,63047,182
R,63050,23207
B,63052,78
I,63055,35334
B,63057,187
R,63059,23523
B,63062,217
I,63064,35571
B,63066,127
R,63069,23180
B,63071,71
I,63073,35514
B,63076,300
R,63078,23441
B,63081,140
I,63083,35432
B,63085,129
R,63088,23220
B,63090,126
I,63092,35688
B,63095,269
R,63097,23415
B,63100,76
I,63102,35303
B,63104,123
R,63107,23312
B,63109,257
I,63111,35684
B,63114,204
R,63116,23239
B,63118,78
I,63121,35326
B,63123,164
R,63126,23446
B,63128,229
I,63130,35547
B,63133,125
R,63135,23115
B,63137,77
I,63140,35412
B,63142,298
R,63145,23450
B,63147,157
I,63149,35353
B,63152,131
R,63154,23102
B,63156,109
I,63159,35613
B,63161,289
R,63163,23356
B,63166,76
I,63168,35279
B,63171,125
R,63173,23286
B,63175,248
I,63178,35620
B,63180,216
R,63182,23286
B,63185,81
I,63187,35291
B,63189,157
R,63192,23491
B,63194,245
I,63197,35617
B,63199,130
R,63201,23145
B,63204,77
I,63206,35490
B,63208,287
R,63211,23504
B,63213,174
I,63216,35500
B,63218,131
R,63220,23158
B,63223,95
I,63225,35633
B,63227,298
R,63230,23438
B,63232,84
I,63234,35290
B,63237,118
R,63239,23237
B,63242,226
I,63244,35667
B,63246,229
R,63249,23259
B,63251,76
I,63253,35293
B,63256,142
R,63258,23429
B,63261,250
I,63263,35607
B,63265,139
R,63268,23137
B,63270,75
I,63272,35427
B,63275,266
R,63277,23472
B,63279,178
I,63282,35472
B,63284,126
R,63287,23099
B,63289,84
I,63291,35596
B,63294,298
R,63296,23445
B,63298,85
I,63301,35313
B,63303,120
R,63305,23215
B,63308,206
I,63310,35658
B,63313,238
R,63315,23268
B,63317,77
I,63320,35305
B,63322,125
R,63324,23408
B,63327,260
I,63329,35610
B,63332,147
R,63334,23155
B,63336,73
I,63339,35391
B,63341,249
R,63343,23495
B,63346,187
I,63348,35465
B,63350,119
R,63353,23125
B,63355,71
I,63358,35580
B,63360,314
R,63362,23425
B,63365,104
I,63367,35326
B,63369,119
R,63372,23166
B,63374,188
I,63377,35676
B,63379,247
R,63381,23297
B,63384,74
I,63386,35248
B,63388,119
R,63391,23339
B,63393,259
I,63395,35613
B,63398,165
R,63400,23109
B,63403,78
I,63405,35342
B,63407,222
R,63410,23427
B,63412,202
I,63414,35484
B,63417,132
R,63419,23060
B,63422,73
I,63424,35467
B,63426,311
R,63429,23425
B,63431,117
I,63433,35314
B,63436,123
R,63438,23168
B,63440,152
I,63443,35615
B,63445,261
R,63448,23299
B,63450,77
I,63452,35248
B,63455,120
R,63457,23278
B,63459,262
I,63462,35574
B,63464,180
R,63467,23141
B,63469,79
I,63471,35295
B,63474,196
R,63476,23395
B,63478,210
I,63481,35505
B,63483,132
R,63485,23059
B,63488,75
I,63490,35440
B,63493,320
R,63495,23395
B,63497,134
I,63500,35404
B,63502,123
R,63504,23086
B,63507,134
I,63509,35680
B,63511,275
R,63514,23320
B,63516,75
I,63519,35256
B,63521,114
R,63523,23279
B,63526,255
I,63528,35695
B,63530,199
R,63533,23200
B,63535,75
I,63538,35288
B,63540,173
R,63542,23477
B,63545,223
I,63547,35546
B,63549,126
R,63552,23101
B,63554,73
I,63556,35491
B,63559,303
R,63561,23427
B,63564,146
I,63566,35436
B,63568,126
R,63571,23145
B,63573,116
I,63575,35681
B,63578,290
R,63580,23383
B,63583,75
I,63585,35359
B,63587,123
R,63590,23245
B,63592,239
I,63594,35706
B,63597,211
R,63599,23191
B,63601,80
I,63604,35397
B,63606,158
R,63609,23421
B,63611,236
I,63613,35680
B,63616,131
R,63618,23117
B,63620,79
I,63623,35493
B,63625,290
R,63628,23463
B,63630,162
I,63632,35528
B,63635,123
R,63637,23152
B,63639,98
I,63642,35703
B,63644,292
R,63646,23447
B,63649,82
I,63651,35379
B,63654,122
R,63656,23245
B,63658,230
I,63661,35775
B,63663,218
R,63665,23321
B,63668,77
