TAG,Time,Value
B,27761,33593
R,27763,107
I,27765,53486
B,27768,160
R,27770,33586
B,27773,94
I,27775,53442
B,27777,172
R,27780,33613
B,27782,100
I,27784,53455
B,27787,167
R,27789,33580
I,27791,86
B,27794,53430
R,27796,180
B,27799,33603
I,27801,90
B,27803,53410
R,27806,167
B,27808,33563
I,27810,96
B,27813,53447
R,27815,183
I,27817,33592
B,27820,91
R,27822,53428
B,27825,163
I,27827,33584
B,27829,107
R,27832,53515
B,27834,167
I,27836,33566
B,27839,94
R,27841,53444
I,27844,165
B,27846,33615
R,27848,106
B,27851,53514
I,27853,163
B,27855,33605
R,27858,88
B,27860,53457
I,27862,181
B,27865,33599
R,27867,92
I,27870,53440
B,27872,167
R,27874,33609
B,27877,94
I,27879,53467
B,27881,178
R,27884,33634
B,27886,92
I,27888,53454
B,27891,165
R,27893,33597
I,27896,107
B,27898,53491
R,27900,168
B,27903,33597
I,27905,94
B,27907,53474
R,27910,167
B,27912,33595
I,27915,105
B,27917,53511
R,27919,166
I,27922,33583
B,27924,89
R,27926,53429
B,27929,176
I,27931,33584
B,27933,99
R,27936,53424
B,27938,164
I,27941,33596
B,27943,89
R,27945,53412
I,27948,183
B,27950,33579
R,27952,93
B,27955,53403
I,27957,163
B,27959,33504
R,27962,105
B,27964,53404
I,27967,170
B,27969,33504
R,27971,90
I,27974,53274
B,27976,155
R,27978,33516
B,27981,109
I,27983,53303
B,27986,168
R,27988,33492
B,27990,89
I,27993,53253
B,27995,172
R,27997,33516
I,28000,96
B,28002,53259
R,28004,164
B,28007,33497
I,28009,88
B,28012,53233
R,28014,183
B,28016,33503
I,28019,93
B,28021,53252
R,28023,167
I,28026,33485
B,28028,102
R,28031,53322
B,28033,171
I,28035,33488
B,28038,93
R,28040,53240
B,28042,161
I,28045,33516
B,28047,112
R,28049,53315
I,28052,167
B,28054,33478
R,28057,90
B,28059,53232
I,28061,172
B,28064,33508
R,28066,95
B,28068,53224
I,28071,162
B,28073,33454
R,28075,90
I,28078,53245
B,28080,179
R,28083,33462
B,28085,92
I,28087,53205
B,28090,156
R,28092,33485
B,28094,97
I,28097,53245
B,28099,170
R,28102,33479
I,28104,94
B,28106,53217
R,28109,157
B,28111,33481
I,28113,112
B,28116,53285
R,28118,164
B,28120,33484
I,28123,92
B,28125,53215
R,28128,172
I,28130,33500
B,28132,97
R,28135,53247
B,28137,174
I,28139,33479
B,28142,86
R,28144,53222
B,28147,178
I,28149,33515
B,28151,89
R,28154,53226
I,28156,166
B,28158,33485
R,28161,94
B,28163,53274
I,28165,174
B,28168,33487
R,28170,93
B,28173,53291
I,28175,160
B,28177,33504
R,28180,108
I,28182,53331
B,28184,167
R,28187,33520
B,28189,92
I,28191,53272
B,28194,168
R,28196,33525
B,28199,102
I,28201,53365
B,28203,172
R,28206,33524
I,28208,87
B,28210,53310
R,28213,182
B,28215,33526
I,28218,88
B,28220,53332
R,28222,169
B,28225,33533
I,28227,90
B,28229,53339
R,28232,177
I,28234,33486
B,28236,90
R,28239,53326
B,28241,163
I,28244,33540
B,28246,107
R,28248,53406
B,28251,172
I,28253,33502
B,28255,94
R,28258,53300
I,28260,170
B,28262,33533
R,28265,108
B,28267,53355
I,28270,166
B,28272,33504
R,28274,87
B,28277,53307
I,28279,180
B,28281,33533
R,28284,90
I,28286,53317
B,28289,171
R,28291,33500
B,28293,92
I,28296,53323
B,28298,181
R,28300,33497
B,28303,91
I,28305,53308
B,28307,160
R,28310,33502
I,28312,107
B,28315,53381
