TAG,Time,Value
R,11148,29081
B,11150,274
I,11153,40634
B,11155,339
R,11157,29093
B,11160,230
I,11162,40539
B,11164,291
R,11167,29102
B,11169,299
I,11172,40616
B,11174,304
R,11176,29059
B,11179,228
I,11181,40548
B,11183,314
R,11186,29142
B,11188,267
I,11191,40549
B,11193,283
R,11195,29039
B,11198,223
I,11200,40613
B,11202,342
R,11205,29171
B,11207,238
I,11209,40552
B,11212,285
R,11214,29073
B,11217,256
I,11219,40652
B,11221,335
R,11224,29083
B,11226,226
I,11228,40580
B,11231,288
R,11233,29119
B,11236,300
I,11238,40667
B,11240,307
R,11243,29109
B,11245,234
I,11247,40573
B,11250,321
R,11252,29193
B,11254,292
I,11257,40617
B,11259,294
R,11262,29107
B,11264,232
I,11266,40636
B,11269,363
R,11271,29193
B,11273,257
I,11276,40617
B,11278,292
R,11281,29103
B,11283,266
I,11285,40684
B,11288,350
R,11290,29173
B,11292,236
I,11295,40605
B,11297,296
R,11299,29168
B,11302,294
I,11304,40702
B,11307,317
R,11309,29132
B,11311,234
I,11314,40620
B,11316,324
R,11318,29198
B,11321,302
I,11323,40649
B,11326,304
R,11328,29099
B,11330,231
I,11333,40688
B,11335,366
R,11337,29202
B,11340,262
I,11342,40657
B,11345,294
R,11347,29113
B,11349,262
I,11352,40699
B,11354,357
R,11356,29193
B,11359,246
I,11361,40621
B,11363,286
R,11366,29112
B,11368,290
I,11371,40713
B,11373,325
R,11375,29118
B,11378,233
I,11380,40581
B,11382,312
R,11385,29135
B,11387,288
I,11390,40652
B,11392,295
R,11394,29068
B,11397,221
I,11399,40622
B,11401,335
R,11404,29168
B,11406,253
I,11408,40637
B,11411,282
R,11413,29060
B,11416,231
I,11418,40685
B,11420,347
R,11423,29117
B,11425,225
I,11427,40590
B,11430,267
R,11432,29069
B,11435,271
I,11437,40707
B,11439,301
R,11442,29106
B,11444,214
I,11446,40601
B,11449,296
R,11451,29133
B,11453,283
I,11456,40651
B,11458,297
R,11461,29043
B,11463,210
I,11465,40614
B,11468,327
R,11470,29196
B,11472,235
I,11475,40630
B,11477,264
R,11480,29048
B,11482,229
I,11484,40708
B,11487,332
R,11489,29095
B,11491,222
I,11494,40618
B,11496,272
R,11499,29095
B,11501,275
I,11503,40787
B,11506,366
R,11508,29459
B,11510,397
I,11513,40868
B,11515,487
R,11517,29852
B,11520,488
I,11522,40972
B,11525,507
R,11527,30017
B,11529,468
I,11532,41118
B,11534,585
R,11536,30208
B,11539,505
I,11541,41065
B,11544,525
R,11546,29983
B,11548,474
I,11551,41088
B,11553,585
R,11555,29980
B,11558,472
I,11560,40999
B,11562,508
R,11565,29881
B,11567,495
I,11570,41064
B,11572,538
R,11574,29834
B,11577,440
I,11579,40950
B,11581,509
R,11584,29843
B,11586,499
I,11589,41013
B,11591,503
R,11593,29788
B,11596,427
I,11598,41002
B,11600,528
R,11603,29855
B,11605,472
I,11607,40993
B,11610,492
R,11612,29786
B,11615,439
I,11617,41024
B,11619,552
R,11622,29852
B,11624,444
I,11626,40992
B,11629,491
R,11631,29795
B,11634,477
I,11636,41085
B,11638,542
R,11641,29846
B,11643,449
I,11645,41001
B,11648,518
R,11650,29881
B,11653,510
I,11655,41096
B,11657,518
R,11660,29800
B,11662,445
I,11664,41025
B,11667,542
R,11669,29953
B,11671,501
I,11674,41049
B,11676,523
R,11679,29836
B,11681,470
I,11683,41115
B,11686,584
R,11688,29942
B,11690,490
I,11693,41070
B,11695,519
R,11698,29945
B,11700,507
I,11702,41147
B,11705,584
R,11707,29964
B,11709,483
I,11712,41096
B,11714,581
R,11716,30355
B,11719,627
I,11721,41426
B,11724,653
R,11726,30452
B,11728,625
I,11731,41397
B,11733,723
R,11735,30672
B,11738,1047
I,11740,41677
B,11743,1017
R,11745,30865
B,11747,961
I,11750,41702
B,11752,1075
R,11754,31047
B,11757,994
I,11759,41694
B,11762,1021
R,11764,30944
B,11766,1016
I,11769,41789
B,11771,1070
R,11773,30988
B,11776,1005
I,11778,41701
B,11781,1059
R,11783,31073
B,11785,1109
I,11788,41824
B,11790,1088
R,11792,31041
B,11795,1028
I,11797,41743
B,11799,1110
R,11802,31125
B,11804,1093
I,11807,41770
B,11809,1078
R,11811,30977
B,11814,982
I,11816,41705
B,11818,1102
R,11821,30902
B,11823,934
I,11826,41556
