TAG,Time,Value
B,4189,277
I,4191,32731
B,4194,322
R,4196,24193
B,4198,365
I,4201,32850
B,4203,348
R,4205,24159
B,4208,275
I,4210,32771
B,4212,376
R,4215,24236
B,4217,331
I,4219,32786
B,4222,322
R,4224,24066
B,4227,273
I,4229,32836
B,4231,420
R,4234,24203
B,4236,301
I,4238,32747
B,4241,318
R,4243,24109
B,4245,323
I,4248,32937
B,4250,388
R,4253,24203
B,4255,277
I,4257,32713
B,4260,325
R,4262,24196
B,4264,370
I,4267,32879
B,4269,354
R,4271,24136
B,4274,275
I,4276,32760
B,4279,358
R,4281,24215
B,4283,352
I,4286,32831
B,4288,322
R,4290,24078
B,4293,273
I,4295,32831
B,4297,418
R,4300,24267
B,4302,312
I,4304,32822
B,4307,324
R,4309,24095
B,4312,302
I,4314,32903
B,4316,404
R,4319,24222
B,4321,270
I,4323,32784
B,4326,317
R,4328,24178
B,4330,355
I,4333,32921
B,4335,365
R,4338,24138
B,4340,274
I,4342,32769
B,4345,347
R,4347,24214
B,4349,351
I,4352,32856
B,4354,325
R,4356,24101
B,4359,276
I,4361,32799
B,4364,400
R,4366,24253
B,4368,326
I,4371,32850
B,4373,325
R,4375,24092
B,4378,281
I,4380,32917
B,4382,406
R,4385,24234
B,4387,287
I,4389,32796
B,4392,316
R,4394,24167
B,4397,355
I,4399,32963
B,4401,372
R,4404,24173
B,4406,279
I,4408,32802
B,4411,329
R,4413,24248
B,4415,365
I,4418,32902
B,4420,342
R,4423,24126
B,4425,269
I,4427,32861
B,4430,394
R,4432,24259
B,4434,329
I,4437,32870
B,4439,324
R,4441,24106
B,4444,278
I,4446,32936
B,4448,417
R,4451,24266
B,4453,293
I,4456,32847
B,4458,319
R,4460,24175
B,4463,332
I,4465,32978
B,4467,383
R,4470,24209
B,4472,275
I,4474,32821
B,4477,319
R,4479,24238
B,4482,375
I,4484,32934
B,4486,347
R,4489,24118
B,4491,268
I,4493,32865
B,4496,376
R,4498,24282
B,4500,344
I,4503,32911
B,4505,320
R,4507,24096
B,4510,271
I,4512,32949
B,4515,414
R,4517,24258
B,4519,305
I,4522,32889
B,4524,316
R,4526,24196
B,4529,318
I,4531,33011
B,4533,391
R,4536,24240
B,4538,277
I,4541,32851
B,4543,317
R,4545,24205
B,4548,363
I,4550,32987
B,4552,358
R,4555,24164
B,4557,273
I,4559,32865
B,4562,358
R,4564,24280
B,4567,339
I,4569,32955
B,4571,324
R,4574,24149
B,4576,272
I,4578,32907
B,4581,404
R,4583,24289
B,4585,312
I,4588,32928
B,4590,324
R,4592,24148
B,4595,298
I,4597,33027
B,4600,392
R,4602,24246
B,4604,282
I,4607,32883
B,4609,320
R,4611,24241
B,4614,350
I,4616,32990
B,4618,366
R,4621,24219
B,4623,272
I,4626,32891
B,4628,342
R,4630,24271
B,4633,348
I,4635,33004
B,4637,332
R,4640,24139
B,4642,278
I,4644,32900
B,4647,392
R,4649,24279
B,4652,317
I,4654,32872
B,4656,323
R,4659,24096
B,4661,287
I,4663,32928
B,4666,411
R,4668,24222
B,4670,284
I,4673,32808
B,4675,324
R,4677,24160
B,4680,335
I,4682,32899
B,4685,375
R,4687,24151
B,4689,275
I,4692,32723
B,4694,325
R,4696,24186
B,4699,354
I,4701,32867
B,4703,334
R,4706,24108
B,4708,268
I,4711,32760
B,4713,377
R,4715,24196
B,4718,321
I,4720,32802
B,4722,324
R,4725,24056
B,4727,272
I,4729,32810
B,4732,402
R,4734,24170
B,4736,294
I,4739,32735
B,4741,315
R,4744,24136
B,4746,320
I,4748,32890
B,4751,374
R,4753,24159
B,4755,275
I,4758,32698
B,4760,313
R,4762,24151
B,4765,364
I,4767,32835
B,4770,354
R,4772,24094
B,4774,277
I,4777,32745
B,4779,365
R,4781,24184
B,4784,333
I,4786,32797
B,4788,327
R,4791,24053
B,4793,281
I,4795,32820
B,4798,410
R,4800,24198
B,4803,308
I,4805,32740
B,4807,322
R,4810,24101
B,4812,310
I,4814,32862
B,4817,391
R,4819,24175
B,4821,277
I,4824,32726
B,4826,324
R,4829,24165
B,4831,352
I,4833,32859
B,4836,357
R,4838,24104
B,4840,277
I,4843,32753
B,4845,356
R,4847,24232
B,4850,350
I,4852,32840
B,4854,325
R,4857,24106
B,4859,274
I,4862,32788
B,4864,401
R,4866,24199
B,4869,314
I,4871,32782
B,4873,326
R,4876,24092
B,4878,293
I,4880,32865
B,4883,401
R,4885,24201
B,4888,277
I,4890,32730
B,4892,327
R,4895,24151
B,4897,350
I,4899,32874
B,4902,368
R,4904,24156
B,4906,272
I,4909,32742
B,4911,336
R,4913,24195
B,4916,354
I,4918,32845
B,4921,330
R,4923,24102
B,4925,272
I,4928,32797
B,4930,387
R,4932,24225
B,4935,316
I,4937,32801
B,4939,330
R,4942,24084
B,4944,276
I,4947,32830
B,4949,411
R,4951,24177
B,4954,291
I,4956,32744
B,4958,327
R,4961,24121
B,4963,336
I,4965,32854
B,4968,374
R,4970,24132
B,4973,274
I,4975,32697
B,4977,327
R,4980,24170
B,4982,361
I,4984,32837
B,4987,340
R,4989,24076
B,4991,277
I,4994,32773
B,4996,379
R,4998,24191
B,5001,324
I,5003,32798
B,5006,325
R,5008,24053
B,5010,279
I,5013,32815
B,5015,416
R,5017,24163
B,5020,304
I,5022,32721
B,5024,317
R,5027,24096
B,5029,316
I,5032,32836
B,5034,387
R,5036,24150
B,5039,272
I,5041,32695
B,5043,320
R,5046,24130
B,5048,368
I,5050,32820
B,5053,357
R,5055,24125
B,5057,279
I,5060,32712
B,5062,362
R,5065,24192
B,5067,346
I,5069,32820
B,5072,322
R,5074,24064
B,5076,274
I,5079,32840
B,5081,416
R,5083,24203
B,5086,319
I,5088,32770
B,5091,327
R,5093,24075
B,5095,306
I,5098,32848
B,5100,415
R,5102,24138
B,5105,275
I,5107,32720
B,5109,323
R,5112,24102
B,5114,361
I,5116,32878
B,5119,368
R,5121,24124
B,5124,281
I,5126,32729
B,5128,343
R,5131,24227
B,5133,362
I,5135,32815
B,5138,327
R,5140,24047
B,5142,276
I,5145,32787
B,5147,399
R,5150,24178
B,5152,326
I,5154,32783
B,5157,323
R,5159,24033
B,5161,285
I,5164,32846
B,5166,410
R,5168,24194
B,5171,279
I,5173,32752
B,5176,316
R,5178,24088
B,5180,345
I,5183,32865
B,5185,372
R,5187,24135
B,5190,277
I,5192,32757
B,5194,330
R,5197,24187
B,5199,369
I,5201,32820
B,5204,338
R,5206,24111
B,5209,270
I,5211,32792
B,5213,382
R,5216,24213
B,5218,328
I,5220,32811
B,5223,321
R,5225,24041
B,5227,279
I,5230,32890
B,5232,413
R,5235,24208
B,5237,293
I,5239,32745
B,5242,323
R,5244,24076
B,5246,325
I,5249,32913
B,5251,380
R,5253,24163
B,5256,277
I,5258,32725
B,5261,318
R,5263,24184
B,5265,375
I,5268,32868
B,5270,353
R,5272,24115
B,5275,276
I,5277,32803
B,5279,381
R,5282,24264
B,5284,343
I,5286,32841
B,5289,325
R,5291,24059
B,5294,272
I,5296,32861
B,5298,413
R,5301,24214
B,5303,308
I,5305,32776
B,5308,324
R,5310,24086
B,5312,314
I,5315,32937
B,5317,405
R,5320,24187
B,5322,275
I,5324,32782
B,5327,319
R,5329,24157
B,5331,365
I,5334,32917
B,5336,366
R,5338,24128
B,5341,280
I,5343,32769
B,5345,355
R,5348,24214
B,5350,352
I,5353,32887
B,5355,322
R,5357,24056
B,5360,276
I,5362,32852
B,5364,409
R,5367,24238
B,5369,317
I,5371,32840
B,5374,316
R,5376,24109
B,5379,296
I,5381,32951
B,5383,405
R,5386,24170
B,5388,281
I,5390,32803
B,5393,326
R,5395,24134
B,5397,351
I,5400,32951
B,5402,370
R,5404,24144
B,5407,274
I,5409,32824
B,5412,333
R,5414,24207
B,5416,367
I,5419,32891
B,5421,334
R,5423,24060
B,5426,281
I,5428,32799
B,5430,399
R,5433,24230
B,5435,329
I,5438,32827
B,5440,331
R,5442,24024
B,5445,288
I,5447,32849
B,5449,411
R,5452,24140
B,5454,288
I,5456,32719
B,5459,320
R,5461,24095
B,5464,342
I,5466,32861
B,5468,383
R,5471,24101
B,5473,278
I,5475,32662
B,5478,320
R,5480,24132
B,5482,372
I,5485,32749
B,5487,341
R,5489,24023
B,5492,270
I,5494,32659
B,5497,384
R,5499,24151
B,5501,335
I,5504,32717
B,5506,324
R,5508,23952
B,5511,279
I,5513,32740
B,5515,422
R,5518,24088
B,5520,295
I,5523,32622
B,5525,322
R,5527,23996
B,5530,327
I,5532,32760
B,5534,399
R,5537,24068
B,5539,277
I,5541,32557
B,5544,323
R,5546,24080
B,5549,372
I,5551,32715
B,5553,359
R,5556,24037
B,5558,277
I,5560,32628
B,5563,365
R,5565,24131
B,5567,345
I,5570,32673
B,5572,327
