TAG,Value,Time
R,47536,83805
B,19,83807
I,44912,83809
B,4310,83812
R,47475,83814
B,19,83816
I,44732,83818
B,4592,83821
R,47430,83823
B,16,83825
I,44659,83827
B,4585,83830
R,47388,83832
B,19,83834
I,44576,83836
B,4563,83839
R,47244,83841
B,19,83843
I,44502,83845
B,4566,83848
R,47180,83850
B,12,83852
I,44448,83854
B,4576,83857
R,47225,83859
B,19,83861
I,44406,83863
B,4579,83866
R,47168,83868
B,16,83870
I,44377,83872
B,4569,83875
R,47164,83877
B,19,83879
I,44432,83881
B,4556,83884
R,47075,83886
B,16,83888
I,44419,83890
B,4560,83893
R,47126,83895
B,19,83897
I,44412,83899
B,4566,83902
R,47241,83904
B,16,83906
I,44464,83908
B,4572,83911
R,47248,83913
B,22,83915
I,44451,83917
B,4550,83920
R,47184,83922
B,22,83924
I,44441,83926
B,4563,83929
R,47238,83931
B,19,83933
I,44521,83935
B,4592,83938
R,47216,83940
B,19,83942
I,44521,83944
B,4592,83947
R,47248,83949
B,19,83951
I,44496,83953
B,4579,83956
R,47331,83958
B,6,83960
I,44553,83962
B,4576,83965
R,47315,83967
B,19,83969
I,44588,83971
B,4588,83974
R,47344,83976
B,16,83978
I,44611,83980
B,4582,83983
R,47270,83985
B,9,83987
I,44579,83989
B,4598,83991
R,47328,83994
B,16,83996
I,44614,83998
B,4569,84000
R,47356,84003
B,12,84005
I,44748,84007
B,4598,84009
R,47366,84012
B,19,84014
I,44745,84016
B,4560,84018
R,47283,84021
B,16,84023
I,44720,84025
B,4576,84028
R,47414,84030
B,19,84032
I,44691,84034
B,4496,84037
R,47440,84039
B,12,84041
I,44681,84043
B,4249,84046
R,47398,84048
B,16,84050
I,44694,84052
B,4592,84055
R,47388,84057
B,16,84059
I,44796,84061
B,4614,84064
R,47411,84066
B,16,84068
I,44790,84070
B,4585,84073
R,47417,84075
B,16,84077
I,44713,84079
B,4579,84082
R,47468,84084
B,16,84086
I,44787,84088
B,4582,84091
R,47484,84093
B,16,84095
I,44838,84097
B,4566,84100
R,47337,84102
B,16,84104
I,44812,84106
B,4569,84109
R,47379,84111
B,12,84113
I,44825,84115
B,4588,84118
R,47382,84120
B,19,84122
I,44752,84124
B,4588,84127
R,47424,84129
B,19,84131
I,44713,84133
B,4572,84136
R,47436,84138
B,12,84140
I,44816,84142
B,4563,84145
R,47420,84147
B,19,84149
I,44812,84151
B,4588,84154
R,47398,84156
B,16,84158
I,44768,84160
B,4646,84163
R,47478,84165
B,19,84167
I,44771,84169
B,4608,84172
R,47497,84174
B,22,84176
I,44806,84178
B,4595,84181
R,47443,84183
B,16,84185
I,44812,84187
B,4579,84190
R,47424,84192
B,12,84194
I,44851,84196
B,4588,84199
R,47376,84201
B,22,84203
I,44835,84205
B,4598,84208
R,47462,84210
B,22,84212
I,44835,84214
B,4588,84217
R,47491,84219
B,19,84221
I,44924,84223
B,4595,84226
R,47449,84228
B,19,84230
I,44918,84232
B,4585,84235
R,47420,84237
B,22,84239
I,44956,84241
B,4579,84244
R,47510,84246
B,19,84249
I,44960,84250
B,4595,84253
R,47510,84255
B,16,84258
I,44886,84259
B,4598,84262
R,47548,84264
B,6,84267
I,44921,84268
B,4617,84271
R,47558,84273
B,19,84275
I,44905,84277
B,4598,84280
R,47606,84282
B,19,84284
I,44985,84286
B,4595,84289
R,47561,84291
B,16,84293
I,45036,84295
B,4604,84298
R,47484,84300
B,19,84302
I,45001,84304
B,4611,84307
R,47529,84309
B,19,84311
I,45008,84313
B,4604,84316
R,47500,84318
B,32,84320
I,45008,84322
B,4633,84325
R,47612,84327
B,51,84329
I,45017,84331
B,4604,84334
R,47568,84336
B,19,84338
I,45148,84340
B,4579,84343
R,47561,84345
B,16,84347
I,45168,84349
B,4592,84352
R,47577,84354
B,12,84356
I,45148,84358
B,4617,84361
R,47686,84363
B,19,84366
I,45116,84367
B,4601,84370
R,47622,84372
