,TAG,Value,Time
1065,R,37902,2498
1066,B,97,2500
1067,I,41898,2503
1068,B,224,2505
1069,R,37994,2507
1070,B,197,2510
1071,I,41891,2512
1072,B,181,2514
1073,R,37775,2517
1074,B,134,2519
1075,I,41914,2521
1076,B,338,2524
1077,R,37576,2526
1078,B,123,2528
1079,I,41872,2531
1080,B,166,2533
1081,R,37835,2535
1082,B,136,2538
1083,I,41926,2540
1084,B,349,2543
1085,R,37857,2545
1086,B,107,2547
1087,I,41857,2550
1088,B,207,2552
1089,R,37881,2554
1090,B,207,2557
1091,I,41631,2559
1092,B,243,2561
1093,R,37865,2564
1094,B,103,2566
1095,I,41891,2568
1096,B,249,2571
1097,R,37899,2573
1098,B,240,2575
1099,I,41900,2578
1100,B,185,2580
1101,R,37806,2582
1102,B,101,2585
1103,I,41902,2587
1104,B,249,2589
1105,R,37944,2592
1106,B,132,2594
1107,I,41888,2596
1108,B,180,2599
1109,R,37814,2601
1110,B,127,2604
1111,I,41922,2606
1112,B,410,2608
1113,R,37563,2611
1114,B,100,2613
1115,I,41851,2615
1116,B,180,2618
1117,R,37886,2620
1118,B,141,2622
1119,I,41981,2625
1120,B,277,2627
1121,R,37888,2629
1122,B,104,2632
1123,I,41919,2634
1124,B,217,2636
1125,R,37879,2639
1126,B,261,2641
1127,I,41738,2643
1128,B,191,2646
1129,R,37809,2648
1130,B,97,2650
1131,I,41885,2653
1132,B,229,2655
1133,R,37958,2657
1134,B,193,2660
1135,I,41894,2662
1136,B,187,2664
1137,R,37737,2667
1138,B,152,2669
1139,I,41925,2672
1140,B,373,2674
1141,R,37531,2676
1142,B,125,2679
1143,I,41874,2681
1144,B,170,2683
1145,R,37913,2686
1146,B,139,2688
1147,I,41957,2690
1148,B,360,2693
1149,R,37839,2695
1150,B,95,2697
1151,I,41782,2700
1152,B,213,2702
1153,R,37877,2704
1154,B,212,2707
1155,I,41643,2709
1156,B,225,2711
1157,R,37837,2714
1158,B,91,2716
1159,I,41893,2718
1160,B,234,2721
1161,R,37906,2723
1162,B,250,2725
1163,I,41876,2728
1164,B,202,2730
1165,R,37770,2733
1166,B,111,2735
1167,I,41904,2737
1168,B,277,2740
1169,R,37646,2742
1170,B,153,2744
1171,I,41913,2747
1172,B,177,2749
1173,R,37824,2751
1174,B,151,2754
1175,I,41934,2756
1176,B,452,2758
1177,R,37551,2761
1178,B,105,2763
1179,I,41847,2765
1180,B,198,2768
1181,R,37850,2770
1182,B,145,2772
1183,I,41966,2775
1184,B,283,2777
1185,R,37841,2779
1186,B,88,2782
1187,I,41861,2784
1188,B,235,2786
1189,R,37919,2789
1190,B,332,2791
1191,I,41546,2793
1192,B,197,2796
1193,R,37825,2798
1194,B,97,2801
1195,I,41863,2803
1196,B,257,2805
1197,R,37976,2808
1198,B,211,2810
1199,I,41870,2812
1200,B,181,2815
1201,R,37741,2817
1202,B,164,2819
1203,I,41927,2822
1204,B,409,2824
1205,R,37544,2826
1206,B,129,2829
1207,I,41867,2831
